lat,lng,Address,Country,State,totalCount
-23.5589308,-46.7406577,"University of São Paulo - Cidade Universitária Armando Salles de Oliveira, Av. Prof. Almeida Prado, nº1280 - Butantã, São Paulo, 05508-070, Brazil",Brazil,São Paulo,1
55.6966812,12.5713697,"Niels Bohr Institute, University of Copenhagen, Blegdamsvej 17, 2100 Copenhagen, Denmark",Denmark,Capital Region of Denmark,1
40.7982133,-77.8599084,"The Pennsylvania State University, 201 Old Main, University Park, PA 16802, USA",United States,Pennsylvania,1
38.2904011,-122.4591276,"596 1st Street West, Sonoma, CA 95476, USA",United States,California,1
52.3564062,4.9507012,"Amsterdam Scientific Instruments, University of Amsterdam, Science Park Amsterdam 105, 1098 XG Amsterdam, The Netherlands",The Netherlands,North Holland,1
55.6760968,12.5683371,"Copenhagen, Denmark",Denmark,Capital Region of Denmark,1
40.0406506,-105.2077798,"Boulder, CO 80301, USA",United States,Colorado,1
49.2648405,-123.252605,"The University of British Columbia, 2329 West Mall, Vancouver, BC V6T 1Z4, Canada",Canada,British Columbia,1
55.655163,37.533631,"Russian Space Research Institute, ulitsa Profsoyuznaya, 84/32, Moscow, Russia, 117997",Russia,Moscow,1
36.9776244,-122.0543182,"1156 High Street, University of California Santa Cruz, Santa Cruz, CA 95064, USA",United States,California,1
53.5267778,-113.5263654,"Edmonton, AB T6G 2E1, Canada",Canada,Alberta,1
43.4555558,-80.5237892,"Waterloo, ON N2L 2G1, Canada",Canada,Ontario,1
43.4729885,-80.5452743,"University of Waterloo, University Avenue West, Waterloo, ON N2L 3G1, Canada",Canada,Ontario,1
41.5544121,-72.6594774,"Foss Hill Drive, Wesleyan University, Middletown, CT 06457, USA",United States,Connecticut,1
35.2030426,-111.6645534,"Lowell Observatory, 1400 West Mars Hill Road, Flagstaff, AZ 86001, USA",United States,Arizona,1
29.6462115,-82.3476965,"Reitz Union Game Room, University of Florida, Museum Road G50, Gainesville, FL 32611, USA",United States,Florida,1
37.7138335,-89.2116506,"Southern Illinois University, 1220 Lincoln Drive, Carbondale, IL 62901, USA",United States,Illinois,1
42.3736158,-71.1097335,"Cambridge, MA, USA",United States,Massachusetts,1
38.9906678,-76.9419681,"Department of Atmospheric and Ocean Science, University of Maryland College Park, College Park, MD 20740, USA",United States,Maryland,1
